IP:Port,Loss,Latency
162.159.195.42:945,0%,171.93
162.159.192.35:2408,0%,172.42
162.159.195.84:500,0%,173.63
162.159.192.156:7152,0%,173.83
162.159.192.222:854,0%,174.67
162.159.195.164:2371,0%,174.68
162.159.192.58:1010,0%,175.61
162.159.192.235:4177,0%,176.10
162.159.192.101:1018,0%,176.55
162.159.192.101:988,0%,176.98
162.159.195.141:942,0%,176.99
188.114.96.196:987,0%,177.47
188.114.98.61:955,0%,177.69
162.159.195.244:8319,0%,177.72
162.159.195.75:908,0%,178.95
188.114.99.185:1002,0%,179.02
188.114.97.43:1387,0%,179.16
188.114.99.253:908,0%,179.82
162.159.192.215:500,0%,179.86
162.159.192.125:500,0%,179.92
188.114.98.76:1074,0%,179.94
162.159.192.38:928,0%,180.63
162.159.192.224:890,0%,180.65
188.114.97.117:946,0%,180.70
162.159.195.176:7103,0%,180.73
188.114.96.17:3854,0%,180.79
188.114.98.82:1070,0%,180.80
188.114.99.219:1018,0%,180.81
188.114.98.195:988,0%,180.84
162.159.195.208:987,0%,180.91
188.114.96.116:500,0%,180.96
188.114.98.79:859,0%,181.24
188.114.96.148:7152,0%,181.27
188.114.99.50:7281,0%,181.29
188.114.96.209:1180,0%,181.34
188.114.99.111:500,0%,181.35
188.114.96.144:7281,0%,181.36
188.114.96.7:2506,0%,181.42
188.114.96.235:928,0%,181.56
188.114.99.94:500,0%,181.57
188.114.99.144:4177,0%,181.95
188.114.98.193:4198,0%,181.95
188.114.99.89:5956,0%,182.39
188.114.96.87:891,0%,182.71
188.114.96.177:3581,0%,183.70
188.114.98.15:946,0%,183.72
188.114.99.153:7152,0%,183.74
188.114.97.199:4233,0%,183.76
188.114.99.97:4198,0%,183.78
188.114.97.127:8319,0%,183.80
188.114.99.29:8742,0%,183.80
188.114.96.72:1018,0%,183.86
188.114.99.198:1180,0%,184.13
188.114.96.67:945,0%,185.03
188.114.98.194:878,0%,185.85
188.114.98.194:1387,0%,185.87
188.114.96.54:942,0%,186.15
188.114.97.134:934,0%,186.16
188.114.99.132:3138,0%,186.64
162.159.195.58:5279,0%,191.69
162.159.195.211:945,0%,191.72
162.159.195.225:894,0%,191.98
162.159.192.211:7103,0%,199.80
162.159.192.241:1701,0%,294.49
